user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	ANI	N/A	GCA_005878835.1, s__13-2-20CM-66-19 sp005878835, 95.0, 81.84, 0.55; GCA_001914695.1, s__13-2-20CM-66-19 sp001914695, 95.0, 81.5, 0.48; GCA_005878095.1, s__13-2-20CM-66-19 sp005878095, 95.0, 81.48, 0.53; GCA_005877965.1, s__13-2-20CM-66-19 sp005877965, 95.0, 81.48, 0.51; GCA_003136935.1, s__13-2-20CM-66-19 sp003136935, 95.0, 80.42, 0.45; GCA_003156695.1, s__13-2-20CM-66-19 sp003156695, 95.0, 80.1, 0.45; GCA_005877705.1, s__13-2-20CM-66-19 sp005877705, 95.0, 79.28, 0.36	78.02	11	0.9528716102062552	N/A
bin.100	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__	N/A	N/A	N/A	N/A	N/A	GCA_002429315.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__UBA6038 sp002429315	79.76	0.52	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003139615.1, s__UBA6038 sp003139615, 95.0, 77.09, 0.22; GCA_001896865.1, s__UBA6038 sp001896865, 95.0, 77.06, 0.17; GCA_003158585.1, s__UBA6038 sp003158585, 95.0, 77.02, 0.18; GCA_001898015.1, s__UBA6038 sp001898015, 95.0, 77.0, 0.21; GCA_002307725.1, s__UBA6038 sp002307725, 95.0, 76.7, 0.13; GCA_003131925.1, s__UBA6038 sp003131925, 95.0, 76.55, 0.15; GCA_002307315.1, s__UBA6038 sp002307315, 95.0, 76.51, 0.12	80.87	11	0.9541787947973274	Genome has more than 16.7% of markers with multiple hits
bin.101	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__54-19;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003243865.1	95.0	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__54-19;f__QHBQ01;g__QHBQ01;s__QHBQ01 sp003243865	75.46	0.05	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__54-19;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	36.17	11	0.6896052408075232	Genome has more than 22.5% of markers with multiple hits
bin.102	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_005885405.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__VAYN01 sp005885405	81.62	0.66	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	37.1	11	0.8822371440731407	Genome has more than 17.5% of markers with multiple hits
bin.103	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__	N/A	N/A	N/A	N/A	N/A	GCA_003222635.1	95.0	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__Gp6-AA40;s__Gp6-AA40 sp003222635	78.48	0.31	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	48.99	11	0.8860677053053586	N/A
bin.104	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UTBCD1;s__	N/A	N/A	N/A	N/A	N/A	GCA_002066995.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UTBCD1;s__UTBCD1 sp002066995	76.47	0.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UTBCD1;s__	taxonomic classification defined by topology and ANI	N/A	GCA_005883765.1, s__UTBCD1 sp005883765, 95.0, 75.65, 0.08	51.07	11	0.9373810195068061	Genome has more than 15.0% of markers with multiple hits
bin.106	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	17.42	11	0.7686189721875809	Genome has more than 10.0% of markers with multiple hits
bin.107	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia;s__	N/A	N/A	N/A	N/A	N/A	GCA_000719025.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia;s__Kineosporia aurantiaca	78.82	0.47	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineosporiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	12.76	11	0.9049821702713718	N/A
bin.108	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__	N/A	N/A	N/A	N/A	N/A	GCA_001896865.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__UBA6038 sp001896865	77.45	0.16	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003158585.1, s__UBA6038 sp003158585, 95.0, 77.18, 0.19; GCA_002429315.1, s__UBA6038 sp002429315, 95.0, 77.13, 0.21; GCA_001898015.1, s__UBA6038 sp001898015, 95.0, 77.08, 0.17; GCA_003139615.1, s__UBA6038 sp003139615, 95.0, 76.96, 0.23; GCA_002307725.1, s__UBA6038 sp002307725, 95.0, 76.65, 0.15; GCA_003131925.1, s__UBA6038 sp003131925, 95.0, 76.6, 0.11; GCA_002307315.1, s__UBA6038 sp002307315, 95.0, 76.53, 0.1	51.07	11	0.8948729902253105	Genome has more than 10.8% of markers with multiple hits
bin.109	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__FW021-bin43;s__	N/A	N/A	N/A	N/A	N/A	GCA_004299665.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__FW021-bin43;s__FW021-bin43 sp004299665	78.18	0.32	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.17	11	0.9066120330137775	Genome has more than 11.7% of markers with multiple hits
