locus_tag	ftype	length_bp	gene	EC_number	COG	product
concoct.268_00001	gene	774	ydcV_1			
concoct.268_00001	CDS	774	ydcV_1			Inner membrane ABC transporter permease protein YdcV
concoct.268_00002	gene	396	potB			
concoct.268_00002	CDS	396	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
concoct.268_00003	gene	1443	prr			
concoct.268_00003	CDS	1443	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
concoct.268_00004	gene	492	ald_1			
concoct.268_00004	CDS	492	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
concoct.268_00005	gene	1179	xerC_1			
concoct.268_00005	CDS	1179	xerC_1			Tyrosine recombinase XerC
concoct.268_00006	gene	228				
concoct.268_00006	CDS	228				hypothetical protein
concoct.268_00007	gene	270				
concoct.268_00007	CDS	270				hypothetical protein
concoct.268_00008	gene	627	mmgC_1			
concoct.268_00008	CDS	627	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
concoct.268_00009	gene	1059				
concoct.268_00009	CDS	1059				hypothetical protein
concoct.268_00010	gene	270	prfA			
concoct.268_00010	CDS	270	prfA		COG0216	Peptide chain release factor 1
concoct.268_00011	gene	858	prmC_1			
concoct.268_00011	CDS	858	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
concoct.268_00012	gene	342	tsaC			
concoct.268_00012	CDS	342	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
concoct.268_00013	gene	357	rnpA_1			
concoct.268_00013	CDS	357	rnpA_1	3.1.26.5	COG0594	Ribonuclease P protein component
concoct.268_00014	gene	726				
concoct.268_00014	CDS	726				hypothetical protein
concoct.268_00015	gene	2358				
concoct.268_00015	CDS	2358				hypothetical protein
concoct.268_00016	gene	810				
concoct.268_00016	CDS	810				hypothetical protein
concoct.268_00017	gene	489				
concoct.268_00017	CDS	489				hypothetical protein
concoct.268_00018	gene	1065				
concoct.268_00018	CDS	1065				hypothetical protein
concoct.268_00019	gene	948	xerD			
concoct.268_00019	CDS	948	xerD			Tyrosine recombinase XerD
concoct.268_00020	gene	789				
concoct.268_00020	CDS	789				hypothetical protein
concoct.268_00021	gene	657				
concoct.268_00021	CDS	657				hypothetical protein
