locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat1500.171_00001	gene	222				
metabat1500.171_00001	CDS	222				hypothetical protein
metabat1500.171_00002	gene	516				
metabat1500.171_00002	CDS	516				hypothetical protein
metabat1500.171_00003	gene	651				
metabat1500.171_00003	CDS	651				hypothetical protein
metabat1500.171_00004	gene	1146				
metabat1500.171_00004	CDS	1146				hypothetical protein
metabat1500.171_00005	gene	474				
metabat1500.171_00005	CDS	474				hypothetical protein
metabat1500.171_00006	gene	846				
metabat1500.171_00006	CDS	846				hypothetical protein
metabat1500.171_00007	gene	510				
metabat1500.171_00007	CDS	510				hypothetical protein
metabat1500.171_00008	gene	714				
metabat1500.171_00008	CDS	714				hypothetical protein
metabat1500.171_00009	gene	954	bcrA			
metabat1500.171_00009	CDS	954	bcrA			Bacitracin transport ATP-binding protein BcrA
metabat1500.171_00010	gene	924				
metabat1500.171_00010	CDS	924				hypothetical protein
metabat1500.171_00011	gene	312				
metabat1500.171_00011	CDS	312				hypothetical protein
metabat1500.171_00012	gene	2466				
metabat1500.171_00012	CDS	2466				hypothetical protein
metabat1500.171_00013	gene	1536	hutH			
metabat1500.171_00013	CDS	1536	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
metabat1500.171_00014	gene	3501	tatC			
metabat1500.171_00014	CDS	3501	tatC			Sec-independent protein translocase protein TatC
metabat1500.171_00015	gene	819	cpoB_1			
metabat1500.171_00015	CDS	819	cpoB_1			Cell division coordinator CpoB
metabat1500.171_00016	gene	600	pal_1			
metabat1500.171_00016	CDS	600	pal_1			Peptidoglycan-associated lipoprotein
metabat1500.171_00017	gene	1302	tolB_1			
metabat1500.171_00017	CDS	1302	tolB_1			Tol-Pal system protein TolB
metabat1500.171_00018	gene	699				
metabat1500.171_00018	CDS	699				hypothetical protein
metabat1500.171_00019	gene	426	exbD_1			
metabat1500.171_00019	CDS	426	exbD_1		COG0848	Biopolymer transport protein ExbD
metabat1500.171_00020	gene	714	exbB_1			
metabat1500.171_00020	CDS	714	exbB_1		COG0811	Biopolymer transport protein ExbB
metabat1500.171_00021	gene	951	galE1_1			
metabat1500.171_00021	CDS	951	galE1_1	5.1.3.2	COG1088	UDP-glucose 4-epimerase
metabat1500.171_00022	gene	1161				
metabat1500.171_00022	CDS	1161				hypothetical protein
metabat1500.171_00023	gene	477	ssb			
metabat1500.171_00023	CDS	477	ssb		COG0629	Single-stranded DNA-binding protein
metabat1500.171_00024	gene	342	rimI			
metabat1500.171_00024	CDS	342	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
metabat1500.171_00025	gene	657				
metabat1500.171_00025	CDS	657				hypothetical protein
metabat1500.171_00026	gene	438				
metabat1500.171_00026	CDS	438				hypothetical protein
metabat1500.171_00027	gene	2064	uvrB			
metabat1500.171_00027	CDS	2064	uvrB		COG0556	UvrABC system protein B
metabat1500.171_00028	gene	909				
metabat1500.171_00028	CDS	909				hypothetical protein
metabat1500.171_00029	gene	309				
metabat1500.171_00029	CDS	309				hypothetical protein
metabat1500.171_00030	gene	504				
metabat1500.171_00030	CDS	504				hypothetical protein
metabat1500.171_00031	gene	321				
metabat1500.171_00031	CDS	321				hypothetical protein
metabat1500.171_00032	gene	327				
metabat1500.171_00032	CDS	327				hypothetical protein
metabat1500.171_00033	gene	612				
metabat1500.171_00033	CDS	612				hypothetical protein
metabat1500.171_00034	gene	702				
metabat1500.171_00034	CDS	702				hypothetical protein
metabat1500.171_00035	gene	531				
metabat1500.171_00035	CDS	531				hypothetical protein
metabat1500.171_00036	gene	1530	gabR			
metabat1500.171_00036	CDS	1530	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
metabat1500.171_00037	gene	2673				
metabat1500.171_00037	CDS	2673				hypothetical protein
metabat1500.171_00038	gene	330				
metabat1500.171_00038	CDS	330				hypothetical protein
metabat1500.171_00039	gene	828				
metabat1500.171_00039	CDS	828				hypothetical protein
metabat1500.171_00040	gene	942				
metabat1500.171_00040	CDS	942				hypothetical protein
metabat1500.171_00041	gene	1212	pccB_1			
metabat1500.171_00041	CDS	1212	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
metabat1500.171_00042	gene	465				
metabat1500.171_00042	CDS	465				hypothetical protein
metabat1500.171_00043	gene	672				
metabat1500.171_00043	CDS	672				hypothetical protein
metabat1500.171_00044	gene	1398	sdhA			
metabat1500.171_00044	CDS	1398	sdhA	1.3.5.-	COG1053	8-methylmenaquinol:fumarate reductase flavoprotein subunit
metabat1500.171_00045	gene	750				
metabat1500.171_00045	CDS	750				hypothetical protein
metabat1500.171_00046	gene	501				
metabat1500.171_00046	CDS	501				hypothetical protein
metabat1500.171_00047	gene	912				
metabat1500.171_00047	CDS	912				hypothetical protein
metabat1500.171_00048	gene	837				
metabat1500.171_00048	CDS	837				hypothetical protein
metabat1500.171_00049	gene	1236	pal_2			
metabat1500.171_00049	CDS	1236	pal_2			Peptidoglycan-associated lipoprotein
metabat1500.171_00050	gene	1479	ahcY			
metabat1500.171_00050	CDS	1479	ahcY	3.3.1.1		Adenosylhomocysteinase
metabat1500.171_00051	gene	1008	COQ5_1			
metabat1500.171_00051	CDS	1008	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
metabat1500.171_00052	gene	1437	gabD			
metabat1500.171_00052	CDS	1437	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
metabat1500.171_00053	gene	1029				
metabat1500.171_00053	CDS	1029				hypothetical protein
metabat1500.171_00054	gene	1038				
metabat1500.171_00054	CDS	1038				hypothetical protein
metabat1500.171_00055	gene	768				
metabat1500.171_00055	CDS	768				hypothetical protein
metabat1500.171_00056	gene	174				
metabat1500.171_00056	CDS	174				hypothetical protein
metabat1500.171_00057	gene	510				
metabat1500.171_00057	CDS	510				hypothetical protein
metabat1500.171_00058	gene	426				
metabat1500.171_00058	CDS	426				hypothetical protein
metabat1500.171_00059	gene	273				
metabat1500.171_00059	CDS	273				hypothetical protein
metabat1500.171_00060	gene	441				
metabat1500.171_00060	CDS	441				hypothetical protein
metabat1500.171_00061	gene	600				
metabat1500.171_00061	CDS	600				hypothetical protein
metabat1500.171_00062	gene	258				
metabat1500.171_00062	CDS	258				hypothetical protein
metabat1500.171_00063	gene	522				
metabat1500.171_00063	CDS	522				hypothetical protein
metabat1500.171_00064	gene	477				
metabat1500.171_00064	CDS	477				hypothetical protein
metabat1500.171_00065	gene	174				
metabat1500.171_00065	CDS	174				hypothetical protein
metabat1500.171_00066	gene	297				
metabat1500.171_00066	CDS	297				hypothetical protein
metabat1500.171_00067	gene	396				
metabat1500.171_00067	CDS	396				hypothetical protein
metabat1500.171_00068	gene	1689				
metabat1500.171_00068	CDS	1689				hypothetical protein
metabat1500.171_00069	gene	402				
metabat1500.171_00069	CDS	402				hypothetical protein
metabat1500.171_00070	gene	411	petE_1			
metabat1500.171_00070	CDS	411	petE_1			Plastocyanin
metabat1500.171_00071	gene	744	sipP_1			
metabat1500.171_00071	CDS	744	sipP_1	3.4.21.89		Signal peptidase I P
metabat1500.171_00072	gene	666	sipP_2			
metabat1500.171_00072	CDS	666	sipP_2	3.4.21.89		Signal peptidase I P
metabat1500.171_00073	gene	1008	tolB_2			
metabat1500.171_00073	CDS	1008	tolB_2			Tol-Pal system protein TolB
metabat1500.171_00074	gene	378				
metabat1500.171_00074	CDS	378				hypothetical protein
metabat1500.171_00075	gene	1779				
metabat1500.171_00075	CDS	1779				hypothetical protein
metabat1500.171_00076	gene	981				
metabat1500.171_00076	CDS	981				hypothetical protein
metabat1500.171_00077	gene	654				
metabat1500.171_00077	CDS	654				hypothetical protein
metabat1500.171_00078	gene	399				
metabat1500.171_00078	CDS	399				hypothetical protein
metabat1500.171_00079	gene	1173	metK_1			
metabat1500.171_00079	CDS	1173	metK_1	2.5.1.6		S-adenosylmethionine synthase
metabat1500.171_00080	gene	294				
metabat1500.171_00080	CDS	294				hypothetical protein
metabat1500.171_00081	gene	1353	pepO_1			
metabat1500.171_00081	CDS	1353	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
metabat1500.171_00082	gene	390	crcB_1			
metabat1500.171_00082	CDS	390	crcB_1		COG0239	Putative fluoride ion transporter CrcB
metabat1500.171_00083	gene	357				
metabat1500.171_00083	CDS	357				hypothetical protein
