locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat2500.140_00001	gene	1215				
metabat2500.140_00001	CDS	1215				hypothetical protein
metabat2500.140_00002	gene	2406				
metabat2500.140_00002	CDS	2406				hypothetical protein
metabat2500.140_00003	gene	465	ahpE			
metabat2500.140_00003	CDS	465	ahpE	1.11.1.15	COG1225	Alkyl hydroperoxide reductase E
metabat2500.140_00004	gene	552	bdbD_1			
metabat2500.140_00004	CDS	552	bdbD_1		COG1651	Disulfide bond formation protein D
metabat2500.140_00005	gene	426				
metabat2500.140_00005	CDS	426				hypothetical protein
metabat2500.140_00006	gene	438				
metabat2500.140_00006	CDS	438				hypothetical protein
metabat2500.140_00007	gene	390				
metabat2500.140_00007	CDS	390				hypothetical protein
metabat2500.140_00008	gene	552				
metabat2500.140_00008	CDS	552				hypothetical protein
metabat2500.140_00009	gene	900				
metabat2500.140_00009	CDS	900				hypothetical protein
metabat2500.140_00010	gene	306				
metabat2500.140_00010	CDS	306				hypothetical protein
metabat2500.140_00011	gene	522				
metabat2500.140_00011	CDS	522				hypothetical protein
metabat2500.140_00012	gene	408	umuD			
metabat2500.140_00012	CDS	408	umuD	3.4.21.-	COG1974	Protein UmuD
metabat2500.140_00013	gene	1263	umuC			
metabat2500.140_00013	CDS	1263	umuC		COG0389	Protein UmuC
metabat2500.140_00014	gene	513				
metabat2500.140_00014	CDS	513				hypothetical protein
metabat2500.140_00015	gene	777				
metabat2500.140_00015	CDS	777				hypothetical protein
metabat2500.140_00016	gene	474	rlmH			
metabat2500.140_00016	CDS	474	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
metabat2500.140_00017	gene	615	glpG			
metabat2500.140_00017	CDS	615	glpG	3.4.21.105		Rhomboid protease GlpG
metabat2500.140_00018	gene	1347	tilS			
metabat2500.140_00018	CDS	1347	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
metabat2500.140_00019	gene	312				
metabat2500.140_00019	CDS	312				hypothetical protein
metabat2500.140_00020	gene	744	etfB			
metabat2500.140_00020	CDS	744	etfB		COG2086	Electron transfer flavoprotein subunit beta
metabat2500.140_00021	gene	966	etfA			
metabat2500.140_00021	CDS	966	etfA		COG2025	Electron transfer flavoprotein subunit alpha
metabat2500.140_00022	gene	624				
metabat2500.140_00022	CDS	624				hypothetical protein
metabat2500.140_00023	gene	807	ispE			
metabat2500.140_00023	CDS	807	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
metabat2500.140_00024	gene	1236	rocD			
metabat2500.140_00024	CDS	1236	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
metabat2500.140_00025	gene	741				
metabat2500.140_00025	CDS	741				hypothetical protein
metabat2500.140_00026	gene	393				
metabat2500.140_00026	CDS	393				hypothetical protein
metabat2500.140_00027	gene	792	dapF			
metabat2500.140_00027	CDS	792	dapF	5.1.1.7		Diaminopimelate epimerase
metabat2500.140_00028	gene	882	deoD			
metabat2500.140_00028	CDS	882	deoD	2.4.2.1		Purine nucleoside phosphorylase DeoD-type
metabat2500.140_00029	gene	72				
metabat2500.140_00029	tRNA	72				tRNA-Cys(gca)
metabat2500.140_00030	gene	405				
metabat2500.140_00030	CDS	405				hypothetical protein
metabat2500.140_00031	gene	720				
metabat2500.140_00031	CDS	720				hypothetical protein
metabat2500.140_00032	gene	456				
metabat2500.140_00032	CDS	456				hypothetical protein
metabat2500.140_00033	gene	501	decR			
metabat2500.140_00033	CDS	501	decR		COG1522	DNA-binding transcriptional activator DecR
metabat2500.140_00034	gene	1326	ahcY			
metabat2500.140_00034	CDS	1326	ahcY	3.3.1.1		Adenosylhomocysteinase
metabat2500.140_00035	gene	912	iolE_1			
metabat2500.140_00035	CDS	912	iolE_1	4.2.1.44		Inosose dehydratase
metabat2500.140_00036	gene	498				
metabat2500.140_00036	CDS	498				hypothetical protein
metabat2500.140_00037	gene	1779	argS			
metabat2500.140_00037	CDS	1779	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
metabat2500.140_00038	gene	1026	clsA			
metabat2500.140_00038	CDS	1026	clsA	2.7.8.-		Cardiolipin synthase A
metabat2500.140_00039	gene	1872				
metabat2500.140_00039	CDS	1872		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
metabat2500.140_00040	gene	1944	glgB			
metabat2500.140_00040	CDS	1944	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
metabat2500.140_00041	gene	1926				
metabat2500.140_00041	CDS	1926				hypothetical protein
metabat2500.140_00042	gene	1398				
metabat2500.140_00042	CDS	1398				hypothetical protein
metabat2500.140_00043	gene	1275	glgC			
metabat2500.140_00043	CDS	1275	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
metabat2500.140_00044	gene	1413	glgA_1			
metabat2500.140_00044	CDS	1413	glgA_1	2.4.1.21	COG0297	Glycogen synthase
metabat2500.140_00045	gene	1605				
metabat2500.140_00045	CDS	1605				hypothetical protein
metabat2500.140_00046	gene	987	glcK			
metabat2500.140_00046	CDS	987	glcK	2.7.1.2	COG1940	Glucokinase
metabat2500.140_00047	gene	111				
metabat2500.140_00047	CDS	111				hypothetical protein
metabat2500.140_00048	gene	939	lipA			
metabat2500.140_00048	CDS	939	lipA	2.8.1.8	COG0320	Lipoyl synthase
metabat2500.140_00049	gene	804				
metabat2500.140_00049	CDS	804				hypothetical protein
metabat2500.140_00050	gene	435				
metabat2500.140_00050	CDS	435				hypothetical protein
metabat2500.140_00051	gene	1287				
metabat2500.140_00051	CDS	1287				hypothetical protein
metabat2500.140_00052	gene	561	maf			
metabat2500.140_00052	CDS	561	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
metabat2500.140_00053	gene	966	menA			
metabat2500.140_00053	CDS	966	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
metabat2500.140_00054	gene	444	kdsC			
metabat2500.140_00054	CDS	444	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
metabat2500.140_00055	gene	1890	ettA			
metabat2500.140_00055	CDS	1890	ettA		COG0488	Energy-dependent translational throttle protein EttA
metabat2500.140_00056	gene	672	axe2			
metabat2500.140_00056	CDS	672	axe2	3.1.1.72		Acetylxylan esterase
metabat2500.140_00057	gene	513	fbp			
metabat2500.140_00057	CDS	513	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
metabat2500.140_00058	gene	852	ytrB			
metabat2500.140_00058	CDS	852	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
metabat2500.140_00059	gene	792				
metabat2500.140_00059	CDS	792				hypothetical protein
metabat2500.140_00060	gene	375	ytrA			
metabat2500.140_00060	CDS	375	ytrA		COG1725	HTH-type transcriptional repressor YtrA
metabat2500.140_00061	gene	726				
