locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat2500.120_00001	gene	771				
metabat2500.120_00001	CDS	771				hypothetical protein
metabat2500.120_00002	gene	597	rpoE			
metabat2500.120_00002	CDS	597	rpoE			ECF RNA polymerase sigma-E factor
metabat2500.120_00003	gene	705				
metabat2500.120_00003	CDS	705				hypothetical protein
metabat2500.120_00004	gene	1284				
metabat2500.120_00004	CDS	1284				hypothetical protein
metabat2500.120_00005	gene	984	thadh_1			
metabat2500.120_00005	CDS	984	thadh_1	4.3.1.16		L-threo-3-hydroxyaspartate ammonia-lyase
metabat2500.120_00006	gene	1206	paaJ			
metabat2500.120_00006	CDS	1206	paaJ	2.3.1.174	COG0183	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
metabat2500.120_00007	gene	588	eamB			
metabat2500.120_00007	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
metabat2500.120_00008	gene	1401	hisC			
metabat2500.120_00008	CDS	1401	hisC	2.6.1.9		Histidinol-phosphate aminotransferase
metabat2500.120_00009	gene	594	glpG			
metabat2500.120_00009	CDS	594	glpG	3.4.21.105		Rhomboid protease GlpG
metabat2500.120_00010	gene	276				
metabat2500.120_00010	CDS	276				hypothetical protein
metabat2500.120_00011	gene	924	btuD_1			
metabat2500.120_00011	CDS	924	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
metabat2500.120_00012	gene	735				
metabat2500.120_00012	CDS	735				hypothetical protein
metabat2500.120_00013	gene	1905				
metabat2500.120_00013	CDS	1905				hypothetical protein
metabat2500.120_00014	gene	1068				
metabat2500.120_00014	CDS	1068				hypothetical protein
metabat2500.120_00015	gene	624				
metabat2500.120_00015	CDS	624				hypothetical protein
metabat2500.120_00016	gene	477				
metabat2500.120_00016	CDS	477				hypothetical protein
metabat2500.120_00017	gene	768				
metabat2500.120_00017	CDS	768				hypothetical protein
metabat2500.120_00018	gene	1881				
metabat2500.120_00018	CDS	1881				hypothetical protein
metabat2500.120_00019	gene	411				
metabat2500.120_00019	CDS	411				hypothetical protein
metabat2500.120_00020	gene	1068	lptG			
metabat2500.120_00020	CDS	1068	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
metabat2500.120_00021	gene	1092	lptF			
metabat2500.120_00021	CDS	1092	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
metabat2500.120_00022	gene	1488	pepA_1			
metabat2500.120_00022	CDS	1488	pepA_1	3.4.11.1	COG0260	Cytosol aminopeptidase
metabat2500.120_00023	gene	1074				
metabat2500.120_00023	CDS	1074				hypothetical protein
metabat2500.120_00024	gene	510				
metabat2500.120_00024	CDS	510				hypothetical protein
metabat2500.120_00025	gene	1599	emrB_1			
metabat2500.120_00025	CDS	1599	emrB_1			Multidrug export protein EmrB
metabat2500.120_00026	gene	1263	emrA_1			
metabat2500.120_00026	CDS	1263	emrA_1		COG1566	Multidrug export protein EmrA
metabat2500.120_00027	gene	1521	soxA_1			
metabat2500.120_00027	CDS	1521	soxA_1	1.5.3.1		Sarcosine oxidase subunit alpha
metabat2500.120_00028	gene	564				
metabat2500.120_00028	CDS	564				hypothetical protein
metabat2500.120_00029	gene	2415	abo_1			
metabat2500.120_00029	CDS	2415	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
metabat2500.120_00030	gene	1533				
metabat2500.120_00030	CDS	1533				hypothetical protein
metabat2500.120_00031	gene	651				
metabat2500.120_00031	CDS	651				hypothetical protein
metabat2500.120_00032	gene	834	polA_1			
metabat2500.120_00032	CDS	834	polA_1	2.7.7.7		DNA polymerase I
metabat2500.120_00033	gene	3711	rcsC_1			
metabat2500.120_00033	CDS	3711	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
metabat2500.120_00034	gene	74				
metabat2500.120_00034	tRNA	74				tRNA-Cys(gca)
metabat2500.120_00035	gene	1650				
metabat2500.120_00035	CDS	1650				L-lactate transporter
metabat2500.120_00036	gene	76				
metabat2500.120_00036	tRNA	76				tRNA-Gly(gcc)
metabat2500.120_00037	gene	555	pgsA_1			
metabat2500.120_00037	CDS	555	pgsA_1	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
metabat2500.120_00038	gene	1812	uvrC			
