locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat1500.139_00001	gene	861	ylxH			
metabat1500.139_00001	CDS	861	ylxH		COG0455	Flagellum site-determining protein YlxH
metabat1500.139_00002	gene	732	fliA			
metabat1500.139_00002	CDS	732	fliA		COG1191	RNA polymerase sigma factor FliA
metabat1500.139_00003	gene	771	pomA			
metabat1500.139_00003	CDS	771	pomA		COG1291	Chemotaxis protein PomA
metabat1500.139_00004	gene	924	motB			
metabat1500.139_00004	CDS	924	motB		COG1360	Motility protein B
metabat1500.139_00005	gene	429				
metabat1500.139_00005	CDS	429				hypothetical protein
metabat1500.139_00006	gene	1053				
metabat1500.139_00006	CDS	1053				hypothetical protein
metabat1500.139_00007	gene	2001				
metabat1500.139_00007	CDS	2001				hypothetical protein
metabat1500.139_00008	gene	1320				
metabat1500.139_00008	CDS	1320				hypothetical protein
metabat1500.139_00009	gene	624	gst			
metabat1500.139_00009	CDS	624	gst	2.5.1.18	COG0625	Glutathione S-transferase GST-4.5
metabat1500.139_00010	gene	822	cpo			
metabat1500.139_00010	CDS	822	cpo	1.11.1.10		Non-heme chloroperoxidase
metabat1500.139_00011	gene	930	sigJ			
metabat1500.139_00011	CDS	930	sigJ			ECF RNA polymerase sigma factor SigJ
metabat1500.139_00012	gene	411				
metabat1500.139_00012	CDS	411				hypothetical protein
metabat1500.139_00013	gene	480				
metabat1500.139_00013	CDS	480				hypothetical protein
metabat1500.139_00014	gene	1008	pgrR			
metabat1500.139_00014	CDS	1008	pgrR			HTH-type transcriptional regulator PgrR
metabat1500.139_00015	gene	783				
metabat1500.139_00015	CDS	783				hypothetical protein
metabat1500.139_00016	gene	528				
metabat1500.139_00016	CDS	528				hypothetical protein
metabat1500.139_00017	gene	1227	intA			
metabat1500.139_00017	CDS	1227	intA		COG0582	Prophage integrase IntA
metabat1500.139_00018	gene	315				
metabat1500.139_00018	CDS	315				hypothetical protein
metabat1500.139_00019	gene	747				
metabat1500.139_00019	CDS	747				hypothetical protein
metabat1500.139_00020	gene	645				
metabat1500.139_00020	CDS	645				hypothetical protein
metabat1500.139_00021	gene	2055				
metabat1500.139_00021	CDS	2055				hypothetical protein
metabat1500.139_00022	gene	795				
metabat1500.139_00022	CDS	795				hypothetical protein
metabat1500.139_00023	gene	330	guaD			
metabat1500.139_00023	CDS	330	guaD	3.5.4.3	COG0402	Guanine deaminase
metabat1500.139_00024	gene	258	rpmA			
metabat1500.139_00024	CDS	258	rpmA		COG0211	50S ribosomal protein L27
metabat1500.139_00025	gene	360	rplU			
metabat1500.139_00025	CDS	360	rplU		COG0261	50S ribosomal protein L21
metabat1500.139_00026	gene	1593				
metabat1500.139_00026	CDS	1593				hypothetical protein
metabat1500.139_00027	gene	285				
metabat1500.139_00027	CDS	285				hypothetical protein
metabat1500.139_00028	gene	777				
metabat1500.139_00028	CDS	777				hypothetical protein
metabat1500.139_00029	gene	408				
metabat1500.139_00029	CDS	408				hypothetical protein
metabat1500.139_00030	gene	678				
metabat1500.139_00030	CDS	678				hypothetical protein
metabat1500.139_00031	gene	1311	proP			
metabat1500.139_00031	CDS	1311	proP			Proline/betaine transporter
metabat1500.139_00032	gene	1296				
metabat1500.139_00032	CDS	1296				hypothetical protein
metabat1500.139_00033	gene	1308				
metabat1500.139_00033	CDS	1308				hypothetical protein
metabat1500.139_00034	gene	1293				
metabat1500.139_00034	CDS	1293				hypothetical protein
metabat1500.139_00035	gene	480	gpx1			
metabat1500.139_00035	CDS	480	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
metabat1500.139_00036	gene	1098				
metabat1500.139_00036	CDS	1098				hypothetical protein
metabat1500.139_00037	gene	825				
metabat1500.139_00037	CDS	825				hypothetical protein
metabat1500.139_00038	gene	1290	oprM			
metabat1500.139_00038	CDS	1290	oprM		COG1538	Outer membrane protein OprM
metabat1500.139_00039	gene	972				
metabat1500.139_00039	CDS	972				hypothetical protein
metabat1500.139_00040	gene	702				
metabat1500.139_00040	CDS	702				hypothetical protein
metabat1500.139_00041	gene	771	pxpA			
metabat1500.139_00041	CDS	771	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
metabat1500.139_00042	gene	960	pxpC			
metabat1500.139_00042	CDS	960	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
metabat1500.139_00043	gene	723	pxpB			
metabat1500.139_00043	CDS	723	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
metabat1500.139_00044	gene	417				
metabat1500.139_00044	CDS	417				hypothetical protein
metabat1500.139_00045	gene	546	clcD			
metabat1500.139_00045	CDS	546	clcD	3.1.1.45		Carboxymethylenebutenolidase
metabat1500.139_00046	gene	1086				
metabat1500.139_00046	CDS	1086				hypothetical protein
metabat1500.139_00047	gene	552				
metabat1500.139_00047	CDS	552				hypothetical protein
metabat1500.139_00048	gene	1038				
metabat1500.139_00048	CDS	1038				hypothetical protein
metabat1500.139_00049	gene	771				
metabat1500.139_00049	CDS	771				hypothetical protein
metabat1500.139_00050	gene	1338				
metabat1500.139_00050	CDS	1338				hypothetical protein
metabat1500.139_00051	gene	318				
metabat1500.139_00051	CDS	318				hypothetical protein
metabat1500.139_00052	gene	336				
metabat1500.139_00052	CDS	336				hypothetical protein
metabat1500.139_00053	gene	558				
metabat1500.139_00053	CDS	558				hypothetical protein
metabat1500.139_00054	gene	879	lacF			
metabat1500.139_00054	CDS	879	lacF			Lactose transport system permease protein LacF
metabat1500.139_00055	gene	828	araQ			
metabat1500.139_00055	CDS	828	araQ		COG0395	L-arabinose transport system permease protein AraQ
metabat1500.139_00056	gene	219				
metabat1500.139_00056	CDS	219				hypothetical protein
metabat1500.139_00057	gene	2118	btuB_1			
metabat1500.139_00057	CDS	2118	btuB_1			Vitamin B12 transporter BtuB
metabat1500.139_00058	gene	627				
metabat1500.139_00058	CDS	627				hypothetical protein
metabat1500.139_00059	gene	705				
metabat1500.139_00059	CDS	705				hypothetical protein
metabat1500.139_00060	gene	480				
metabat1500.139_00060	CDS	480				hypothetical protein
metabat1500.139_00061	gene	1248				
metabat1500.139_00061	CDS	1248				hypothetical protein
metabat1500.139_00062	gene	372				
metabat1500.139_00062	CDS	372				hypothetical protein
metabat1500.139_00063	gene	246				
metabat1500.139_00063	CDS	246				hypothetical protein
metabat1500.139_00064	gene	282				
metabat1500.139_00064	CDS	282				hypothetical protein
metabat1500.139_00065	gene	2610				
metabat1500.139_00065	CDS	2610				hypothetical protein
metabat1500.139_00066	gene	765				
metabat1500.139_00066	CDS	765				hypothetical protein
metabat1500.139_00067	gene	1089	rlmM			
metabat1500.139_00067	CDS	1089	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
metabat1500.139_00068	gene	2169				
metabat1500.139_00068	CDS	2169				hypothetical protein
metabat1500.139_00069	gene	123				
metabat1500.139_00069	CDS	123				hypothetical protein
metabat1500.139_00070	gene	4185	pknD_1			
metabat1500.139_00070	CDS	4185	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
metabat1500.139_00071	gene	345				
metabat1500.139_00071	CDS	345				hypothetical protein
metabat1500.139_00072	gene	651	mtnB			
metabat1500.139_00072	CDS	651	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
metabat1500.139_00073	gene	567	mtnD			
metabat1500.139_00073	CDS	567	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
metabat1500.139_00074	gene	438				
metabat1500.139_00074	CDS	438				hypothetical protein
metabat1500.139_00075	gene	660				
metabat1500.139_00075	CDS	660				hypothetical protein
metabat1500.139_00076	gene	789	xthA_1			
metabat1500.139_00076	CDS	789	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
metabat1500.139_00077	gene	456				
metabat1500.139_00077	CDS	456		3.1.-.-		Ribonuclease VapC43
metabat1500.139_00078	gene	258				
metabat1500.139_00078	CDS	258				hypothetical protein
metabat1500.139_00079	gene	2046	prlC			
metabat1500.139_00079	CDS	2046	prlC	3.4.24.70	COG0339	Oligopeptidase A
metabat1500.139_00080	gene	540	yrdA			
metabat1500.139_00080	CDS	540	yrdA		COG0663	Protein YrdA
metabat1500.139_00081	gene	363	aroE			
metabat1500.139_00081	CDS	363	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
metabat1500.139_00082	gene	975				
metabat1500.139_00082	CDS	975				hypothetical protein
metabat1500.139_00083	gene	486	fadE_1			
metabat1500.139_00083	CDS	486	fadE_1	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
metabat1500.139_00084	gene	90				
metabat1500.139_00084	CDS	90				hypothetical protein
metabat1500.139_00085	gene	795	flgH			
metabat1500.139_00085	CDS	795	flgH			Flagellar L-ring protein
metabat1500.139_00086	gene	1098	flgI			
metabat1500.139_00086	CDS	1098	flgI			Flagellar P-ring protein
metabat1500.139_00087	gene	1038	flgJ			
metabat1500.139_00087	CDS	1038	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
metabat1500.139_00088	gene	1038				
metabat1500.139_00088	CDS	1038				hypothetical protein
metabat1500.139_00089	gene	1434				
metabat1500.139_00089	CDS	1434				hypothetical protein
metabat1500.139_00090	gene	384				
metabat1500.139_00090	CDS	384				hypothetical protein
metabat1500.139_00091	gene	255				
metabat1500.139_00091	CDS	255				hypothetical protein
metabat1500.139_00092	gene	351				
metabat1500.139_00092	CDS	351				hypothetical protein
metabat1500.139_00093	gene	2868				
metabat1500.139_00093	CDS	2868				hypothetical protein
metabat1500.139_00094	gene	651	rpiA			
metabat1500.139_00094	CDS	651	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
metabat1500.139_00095	gene	450				
metabat1500.139_00095	CDS	450				hypothetical protein
metabat1500.139_00096	gene	606				
metabat1500.139_00096	CDS	606		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
metabat1500.139_00097	gene	303	zapA_1			
metabat1500.139_00097	CDS	303	zapA_1		COG3027	Cell division protein ZapA
metabat1500.139_00098	gene	219				
metabat1500.139_00098	CDS	219				hypothetical protein
metabat1500.139_00099	gene	2724				
metabat1500.139_00099	CDS	2724				hypothetical protein
metabat1500.139_00100	gene	870				
metabat1500.139_00100	CDS	870				hypothetical protein
metabat1500.139_00101	gene	546	aroK			
metabat1500.139_00101	CDS	546	aroK	2.7.1.71	COG0703	Shikimate kinase 1
metabat1500.139_00102	gene	498				
metabat1500.139_00102	CDS	498				hypothetical protein
metabat1500.139_00103	gene	204				
metabat1500.139_00103	CDS	204				hypothetical protein
metabat1500.139_00104	gene	699	regX3			
metabat1500.139_00104	CDS	699	regX3		COG0745	Sensory transduction protein regX3
metabat1500.139_00105	gene	546				
metabat1500.139_00105	CDS	546				hypothetical protein
metabat1500.139_00106	gene	306	zapA_2			
metabat1500.139_00106	CDS	306	zapA_2		COG3027	Cell division protein ZapA
metabat1500.139_00107	gene	219				
metabat1500.139_00107	CDS	219				hypothetical protein
metabat1500.139_00108	gene	4641				
metabat1500.139_00108	CDS	4641				hypothetical protein
metabat1500.139_00109	gene	549				
metabat1500.139_00109	CDS	549				hypothetical protein
metabat1500.139_00110	gene	1314	pepP			
metabat1500.139_00110	CDS	1314	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
metabat1500.139_00111	gene	1461				
metabat1500.139_00111	CDS	1461				hypothetical protein
metabat1500.139_00112	gene	510				
metabat1500.139_00112	CDS	510				hypothetical protein
metabat1500.139_00113	gene	2463				
metabat1500.139_00113	CDS	2463				hypothetical protein
metabat1500.139_00114	gene	2631	mprF			
metabat1500.139_00114	CDS	2631	mprF	2.3.2.3		Phosphatidylglycerol lysyltransferase
metabat1500.139_00115	gene	219				
metabat1500.139_00115	CDS	219				hypothetical protein
metabat1500.139_00116	gene	642	pyrE_1			
metabat1500.139_00116	CDS	642	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
metabat1500.139_00117	gene	774	exoA_1			
metabat1500.139_00117	CDS	774	exoA_1	3.1.11.2	COG0708	Exodeoxyribonuclease
metabat1500.139_00118	gene	1359	ampG			
metabat1500.139_00118	CDS	1359	ampG		COG0477	Anhydromuropeptide permease
metabat1500.139_00119	gene	330				
metabat1500.139_00119	CDS	330				hypothetical protein
metabat1500.139_00120	gene	1119	anmK			
metabat1500.139_00120	CDS	1119	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
metabat1500.139_00121	gene	1404	mepM			
metabat1500.139_00121	CDS	1404	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
metabat1500.139_00122	gene	1215	tyrS			
metabat1500.139_00122	CDS	1215	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
metabat1500.139_00123	gene	612	gmk_1			
metabat1500.139_00123	CDS	612	gmk_1	2.7.4.8	COG0194	Guanylate kinase
metabat1500.139_00124	gene	930				
metabat1500.139_00124	CDS	930				hypothetical protein
metabat1500.139_00125	gene	750	rph_1			
metabat1500.139_00125	CDS	750	rph_1	2.7.7.56	COG0689	Ribonuclease PH
metabat1500.139_00126	gene	597				
metabat1500.139_00126	CDS	597		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
metabat1500.139_00127	gene	1164	hemW			
metabat1500.139_00127	CDS	1164	hemW		COG0635	Heme chaperone HemW
metabat1500.139_00128	gene	135				
metabat1500.139_00128	CDS	135				hypothetical protein
metabat1500.139_00129	gene	1830	btuB_2			
metabat1500.139_00129	CDS	1830	btuB_2		COG4206	Vitamin B12 transporter BtuB
metabat1500.139_00130	gene	2340				
metabat1500.139_00130	CDS	2340				hypothetical protein
metabat1500.139_00131	gene	345				
metabat1500.139_00131	CDS	345				hypothetical protein
metabat1500.139_00132	gene	648				
metabat1500.139_00132	CDS	648				hypothetical protein
metabat1500.139_00133	gene	492	speD			
metabat1500.139_00133	CDS	492	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
metabat1500.139_00134	gene	2124	pepO_1			
metabat1500.139_00134	CDS	2124	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
metabat1500.139_00135	gene	129	COQ7			
metabat1500.139_00135	CDS	129	COQ7	1.14.99.60		5-demethoxyubiquinone hydroxylase, mitochondrial
metabat1500.139_00136	gene	3069	mdtB			
metabat1500.139_00136	CDS	3069	mdtB			Multidrug resistance protein MdtB
metabat1500.139_00137	gene	1446				
metabat1500.139_00137	CDS	1446				hypothetical protein
metabat1500.139_00138	gene	240				
metabat1500.139_00138	CDS	240				hypothetical protein
metabat1500.139_00139	gene	135				
metabat1500.139_00139	CDS	135				hypothetical protein
metabat1500.139_00140	gene	1302	hmgA_1			
metabat1500.139_00140	CDS	1302	hmgA_1	1.13.11.5	COG3508	Homogentisate 1,2-dioxygenase
metabat1500.139_00141	gene	1089	hpd			
metabat1500.139_00141	CDS	1089	hpd	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
metabat1500.139_00142	gene	783	minC			
metabat1500.139_00142	CDS	783	minC		COG0850	Septum site-determining protein MinC
metabat1500.139_00143	gene	609				
metabat1500.139_00143	CDS	609				hypothetical protein
metabat1500.139_00144	gene	1245				
metabat1500.139_00144	CDS	1245				hypothetical protein
metabat1500.139_00145	gene	1347				
metabat1500.139_00145	CDS	1347				hypothetical protein
metabat1500.139_00146	gene	270	rpsO			
metabat1500.139_00146	CDS	270	rpsO		COG0184	30S ribosomal protein S15
metabat1500.139_00147	gene	924	truB			
