locus_tag	ftype	length_bp	gene	EC_number	COG	product
concoct.303_00001	gene	219				
concoct.303_00001	CDS	219				hypothetical protein
concoct.303_00002	gene	1521				
concoct.303_00002	CDS	1521				hypothetical protein
concoct.303_00003	gene	291				
concoct.303_00003	CDS	291				hypothetical protein
concoct.303_00004	gene	831	chbG_1			
concoct.303_00004	CDS	831	chbG_1	3.5.1.105		Chitooligosaccharide deacetylase
concoct.303_00005	gene	996				
concoct.303_00005	CDS	996				hypothetical protein
concoct.303_00006	gene	798				
concoct.303_00006	CDS	798				hypothetical protein
concoct.303_00007	gene	219				
concoct.303_00007	CDS	219				hypothetical protein
concoct.303_00008	gene	465				
concoct.303_00008	CDS	465				hypothetical protein
concoct.303_00009	gene	1518	comM			
concoct.303_00009	CDS	1518	comM		COG0606	Competence protein ComM
concoct.303_00010	gene	438	lspA_1			
concoct.303_00010	CDS	438	lspA_1	3.4.23.36		Lipoprotein signal peptidase
concoct.303_00011	gene	366	dksA_1			
concoct.303_00011	CDS	366	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
concoct.303_00012	gene	1212				
concoct.303_00012	CDS	1212				hypothetical protein
concoct.303_00013	gene	891	pnp			
concoct.303_00013	CDS	891	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
concoct.303_00014	gene	1125				
concoct.303_00014	CDS	1125				hypothetical protein
concoct.303_00015	gene	810	ureD			
concoct.303_00015	CDS	810	ureD			Urease accessory protein UreD
concoct.303_00016	gene	618	ureG			
concoct.303_00016	CDS	618	ureG		COG0378	Urease accessory protein UreG
concoct.303_00017	gene	663	ureF			
concoct.303_00017	CDS	663	ureF		COG0830	Urease accessory protein UreF
concoct.303_00018	gene	435	ureE			
concoct.303_00018	CDS	435	ureE			Urease accessory protein UreE
concoct.303_00019	gene	1731	ureC			
concoct.303_00019	CDS	1731	ureC	3.5.1.5		Urease subunit alpha
concoct.303_00020	gene	312	ureB			
concoct.303_00020	CDS	312	ureB	3.5.1.5		Urease subunit beta
concoct.303_00021	gene	303	ureA			
concoct.303_00021	CDS	303	ureA	3.5.1.5	COG0831	Urease subunit gamma
concoct.303_00022	gene	261				
concoct.303_00022	CDS	261				hypothetical protein
concoct.303_00023	gene	975				
concoct.303_00023	CDS	975				hypothetical protein
concoct.303_00024	gene	930				
concoct.303_00024	CDS	930				hypothetical protein
concoct.303_00025	gene	1257	aprN			
concoct.303_00025	CDS	1257	aprN	3.4.21.62		Subtilisin NAT
concoct.303_00026	gene	74				
concoct.303_00026	tRNA	74				tRNA-His(gtg)
concoct.303_00027	gene	77				
concoct.303_00027	tRNA	77				tRNA-Arg(tct)
concoct.303_00028	gene	657				
concoct.303_00028	CDS	657				hypothetical protein
concoct.303_00029	gene	519				
concoct.303_00029	CDS	519				hypothetical protein
concoct.303_00030	gene	669	nadA_1			
concoct.303_00030	CDS	669	nadA_1	2.5.1.72	COG0379	Quinolinate synthase A
concoct.303_00031	gene	312				
concoct.303_00031	CDS	312				hypothetical protein
concoct.303_00032	gene	201				
concoct.303_00032	CDS	201				hypothetical protein
concoct.303_00033	gene	774				
concoct.303_00033	CDS	774				hypothetical protein
concoct.303_00034	gene	411				
concoct.303_00034	CDS	411				hypothetical protein
concoct.303_00035	gene	861				
concoct.303_00035	CDS	861				hypothetical protein
concoct.303_00036	gene	927				
