locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat1500.173_00001	gene	522				
metabat1500.173_00001	CDS	522				hypothetical protein
metabat1500.173_00002	gene	1434	bmr3_1			
metabat1500.173_00002	CDS	1434	bmr3_1			Multidrug resistance protein 3
metabat1500.173_00003	gene	306				
metabat1500.173_00003	CDS	306				hypothetical protein
metabat1500.173_00004	gene	369				
metabat1500.173_00004	CDS	369				hypothetical protein
metabat1500.173_00005	gene	708				
metabat1500.173_00005	CDS	708				hypothetical protein
metabat1500.173_00006	gene	690				
metabat1500.173_00006	CDS	690				hypothetical protein
metabat1500.173_00007	gene	582				
metabat1500.173_00007	CDS	582				hypothetical protein
metabat1500.173_00008	gene	1308				
metabat1500.173_00008	CDS	1308		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
metabat1500.173_00009	gene	789				
metabat1500.173_00009	CDS	789				hypothetical protein
metabat1500.173_00010	gene	573	yyaP_1			
metabat1500.173_00010	CDS	573	yyaP_1		COG0262	putative protein YyaP
metabat1500.173_00011	gene	603				
metabat1500.173_00011	CDS	603				hypothetical protein
metabat1500.173_00012	gene	732				
metabat1500.173_00012	CDS	732				hypothetical protein
metabat1500.173_00013	gene	645				
metabat1500.173_00013	CDS	645				hypothetical protein
metabat1500.173_00014	gene	549				
metabat1500.173_00014	CDS	549				hypothetical protein
metabat1500.173_00015	gene	162	rpmG			
metabat1500.173_00015	CDS	162	rpmG		COG0267	50S ribosomal protein L33
metabat1500.173_00016	gene	264	secE			
metabat1500.173_00016	CDS	264	secE			Protein translocase subunit SecE
metabat1500.173_00017	gene	525	nusG			
metabat1500.173_00017	CDS	525	nusG		COG0250	Transcription termination/antitermination protein NusG
metabat1500.173_00018	gene	429	rplK			
metabat1500.173_00018	CDS	429	rplK			50S ribosomal protein L11
metabat1500.173_00019	gene	729	rplA			
metabat1500.173_00019	CDS	729	rplA		COG0081	50S ribosomal protein L1
metabat1500.173_00020	gene	534	rplJ			
metabat1500.173_00020	CDS	534	rplJ		COG0244	50S ribosomal protein L10
metabat1500.173_00021	gene	387	rplL			
metabat1500.173_00021	CDS	387	rplL			50S ribosomal protein L7/L12
metabat1500.173_00022	gene	666				
