locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat1500.028_00001	gene	687				
metabat1500.028_00001	CDS	687				hypothetical protein
metabat1500.028_00002	gene	2670	valS			
metabat1500.028_00002	CDS	2670	valS	6.1.1.9	COG0525	Valine--tRNA ligase
metabat1500.028_00003	gene	732				
metabat1500.028_00003	CDS	732				hypothetical protein
metabat1500.028_00004	gene	1191				
metabat1500.028_00004	CDS	1191				Iron-sulfur cluster carrier protein
metabat1500.028_00005	gene	471				
metabat1500.028_00005	CDS	471				hypothetical protein
metabat1500.028_00006	gene	450				
metabat1500.028_00006	CDS	450				hypothetical protein
metabat1500.028_00007	gene	996				
metabat1500.028_00007	CDS	996				hypothetical protein
metabat1500.028_00008	gene	687	cusR			
metabat1500.028_00008	CDS	687	cusR		COG0745	Transcriptional regulatory protein CusR
metabat1500.028_00009	gene	1050				
metabat1500.028_00009	CDS	1050				hypothetical protein
metabat1500.028_00010	gene	126				
metabat1500.028_00010	CDS	126				hypothetical protein
metabat1500.028_00011	gene	360				
metabat1500.028_00011	CDS	360				hypothetical protein
metabat1500.028_00012	gene	726				
metabat1500.028_00012	CDS	726				hypothetical protein
metabat1500.028_00013	gene	435				
metabat1500.028_00013	CDS	435				hypothetical protein
metabat1500.028_00014	gene	372				
metabat1500.028_00014	CDS	372				hypothetical protein
metabat1500.028_00015	gene	936	rutD_1			
metabat1500.028_00015	CDS	936	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
metabat1500.028_00016	gene	900				
metabat1500.028_00016	CDS	900				hypothetical protein
metabat1500.028_00017	gene	1188	aspC			
metabat1500.028_00017	CDS	1188	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
metabat1500.028_00018	gene	594				
metabat1500.028_00018	CDS	594				hypothetical protein
metabat1500.028_00019	gene	1173				
metabat1500.028_00019	CDS	1173				hypothetical protein
metabat1500.028_00020	gene	771	lnrL_1			
metabat1500.028_00020	CDS	771	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
metabat1500.028_00021	gene	1026				
metabat1500.028_00021	CDS	1026				hypothetical protein
metabat1500.028_00022	gene	822				
metabat1500.028_00022	CDS	822				hypothetical protein
metabat1500.028_00023	gene	462				
metabat1500.028_00023	CDS	462				hypothetical protein
metabat1500.028_00024	gene	525				
metabat1500.028_00024	CDS	525				hypothetical protein
metabat1500.028_00025	gene	3570				
metabat1500.028_00025	CDS	3570				hypothetical protein
metabat1500.028_00026	gene	879				
metabat1500.028_00026	CDS	879				hypothetical protein
metabat1500.028_00027	gene	1641				
metabat1500.028_00027	CDS	1641				hypothetical protein
metabat1500.028_00028	gene	798				
