locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat2500.091_00001	gene	759				
metabat2500.091_00001	CDS	759				hypothetical protein
metabat2500.091_00002	gene	858	phnPP_1			
metabat2500.091_00002	CDS	858	phnPP_1	3.1.4.57	COG0613	Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase
metabat2500.091_00003	gene	714	recX			
metabat2500.091_00003	CDS	714	recX			Regulatory protein RecX
metabat2500.091_00004	gene	1014	iolG			
metabat2500.091_00004	CDS	1014	iolG	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
metabat2500.091_00005	gene	678	epsL			
metabat2500.091_00005	CDS	678	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
metabat2500.091_00006	gene	2091				
metabat2500.091_00006	CDS	2091				hypothetical protein
metabat2500.091_00007	gene	726				
metabat2500.091_00007	CDS	726				hypothetical protein
metabat2500.091_00008	gene	1458				
metabat2500.091_00008	CDS	1458				hypothetical protein
metabat2500.091_00009	gene	768				
metabat2500.091_00009	CDS	768				hypothetical protein
metabat2500.091_00010	gene	369	tatA_1			
metabat2500.091_00010	CDS	369	tatA_1			Sec-independent protein translocase protein TatA
metabat2500.091_00011	gene	1266				
metabat2500.091_00011	CDS	1266		3.4.24.-	COG0612	putative zinc protease
metabat2500.091_00012	gene	996	lnrL_1			
metabat2500.091_00012	CDS	996	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
metabat2500.091_00013	gene	801				
metabat2500.091_00013	CDS	801				hypothetical protein
metabat2500.091_00014	gene	993	lcfB_1			
metabat2500.091_00014	CDS	993	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
metabat2500.091_00015	gene	2112	uvrC_1			
metabat2500.091_00015	CDS	2112	uvrC_1		COG0322	UvrABC system protein C
metabat2500.091_00016	gene	1182				
metabat2500.091_00016	CDS	1182				hypothetical protein
metabat2500.091_00017	gene	1770	argS			
