locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat2500.102_00001	gene	240				
metabat2500.102_00001	CDS	240				hypothetical protein
metabat2500.102_00002	gene	129				
metabat2500.102_00002	CDS	129				hypothetical protein
metabat2500.102_00003	gene	765	scoA_1			
metabat2500.102_00003	CDS	765	scoA_1	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
metabat2500.102_00004	gene	489	scmP			
metabat2500.102_00004	CDS	489	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
metabat2500.102_00005	gene	1047	menA			
metabat2500.102_00005	CDS	1047	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
metabat2500.102_00006	gene	465				
metabat2500.102_00006	CDS	465				hypothetical protein
metabat2500.102_00007	gene	1404	lpdA			
metabat2500.102_00007	CDS	1404	lpdA	1.6.5.2	COG1249	NAD(P)H dehydrogenase (quinone)
metabat2500.102_00008	gene	363				
metabat2500.102_00008	CDS	363				hypothetical protein
metabat2500.102_00009	gene	528				
metabat2500.102_00009	CDS	528				hypothetical protein
metabat2500.102_00010	gene	681				
metabat2500.102_00010	CDS	681				hypothetical protein
metabat2500.102_00011	gene	1176				
metabat2500.102_00011	CDS	1176				hypothetical protein
metabat2500.102_00012	gene	552				
metabat2500.102_00012	CDS	552		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
metabat2500.102_00013	gene	1344				
metabat2500.102_00013	CDS	1344				hypothetical protein
metabat2500.102_00014	gene	948	fgd1_1			
metabat2500.102_00014	CDS	948	fgd1_1	1.1.98.2	COG2141	F420-dependent glucose-6-phosphate dehydrogenase 1
metabat2500.102_00015	gene	1095				
metabat2500.102_00015	CDS	1095				hypothetical protein
metabat2500.102_00016	gene	978	rsmH			
metabat2500.102_00016	CDS	978	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
metabat2500.102_00017	gene	432	mraZ			
metabat2500.102_00017	CDS	432	mraZ		COG2001	Transcriptional regulator MraZ
metabat2500.102_00018	gene	1122				
metabat2500.102_00018	CDS	1122				hypothetical protein
metabat2500.102_00019	gene	1305				
metabat2500.102_00019	CDS	1305				hypothetical protein
metabat2500.102_00020	gene	2367				
metabat2500.102_00020	CDS	2367				hypothetical protein
metabat2500.102_00021	gene	378				
metabat2500.102_00021	CDS	378				hypothetical protein
metabat2500.102_00022	gene	1341	dinB			
metabat2500.102_00022	CDS	1341	dinB	2.7.7.7		DNA polymerase IV
metabat2500.102_00023	gene	1350				
metabat2500.102_00023	CDS	1350				hypothetical protein
metabat2500.102_00024	gene	1176	nixA			
metabat2500.102_00024	CDS	1176	nixA		COG3376	Nickel transporter NixA
metabat2500.102_00025	gene	1248				
metabat2500.102_00025	CDS	1248				hypothetical protein
metabat2500.102_00026	gene	777	menG			
