locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat1500.148_00001	gene	441				
metabat1500.148_00001	CDS	441				hypothetical protein
metabat1500.148_00002	gene	1095				
metabat1500.148_00002	CDS	1095				Iron-sulfur cluster carrier protein
metabat1500.148_00003	gene	1320				
metabat1500.148_00003	CDS	1320				hypothetical protein
metabat1500.148_00004	gene	849				
metabat1500.148_00004	CDS	849				hypothetical protein
metabat1500.148_00005	gene	234				
metabat1500.148_00005	CDS	234				hypothetical protein
metabat1500.148_00006	gene	360				
metabat1500.148_00006	CDS	360				hypothetical protein
metabat1500.148_00007	gene	2451	infB			
metabat1500.148_00007	CDS	2451	infB			Translation initiation factor IF-2
metabat1500.148_00008	gene	429	rbfA			
metabat1500.148_00008	CDS	429	rbfA		COG0858	Ribosome-binding factor A
metabat1500.148_00009	gene	900	truB			
metabat1500.148_00009	CDS	900	truB	5.4.99.25		tRNA pseudouridine synthase B
metabat1500.148_00010	gene	969	ribF			
metabat1500.148_00010	CDS	969	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
metabat1500.148_00011	gene	1656	secD			
metabat1500.148_00011	CDS	1656	secD			Protein translocase subunit SecD
metabat1500.148_00012	gene	993	secF			
metabat1500.148_00012	CDS	993	secF			Protein translocase subunit SecF
metabat1500.148_00013	gene	774	ycfH			
metabat1500.148_00013	CDS	774	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
metabat1500.148_00014	gene	1689	fhs			
metabat1500.148_00014	CDS	1689	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
metabat1500.148_00015	gene	387	yabJ_1			
metabat1500.148_00015	CDS	387	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
metabat1500.148_00016	gene	630				
metabat1500.148_00016	CDS	630				hypothetical protein
metabat1500.148_00017	gene	810	murI			
metabat1500.148_00017	CDS	810	murI	5.1.1.3		Glutamate racemase
metabat1500.148_00018	gene	786	lpxH			
metabat1500.148_00018	CDS	786	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
metabat1500.148_00019	gene	429	ybgC			
metabat1500.148_00019	CDS	429	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
metabat1500.148_00020	gene	96				
metabat1500.148_00020	CDS	96				hypothetical protein
metabat1500.148_00021	gene	627				
metabat1500.148_00021	CDS	627		1.-.-.-		putative oxidoreductase
metabat1500.148_00022	gene	654				
metabat1500.148_00022	CDS	654				hypothetical protein
metabat1500.148_00023	gene	1815				
metabat1500.148_00023	CDS	1815		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
metabat1500.148_00024	gene	789				
metabat1500.148_00024	CDS	789				hypothetical protein
metabat1500.148_00025	gene	768	soj			
metabat1500.148_00025	CDS	768	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
metabat1500.148_00026	gene	456	ycf3			
metabat1500.148_00026	CDS	456	ycf3			Photosystem I assembly protein Ycf3
metabat1500.148_00027	gene	489	gpt			
metabat1500.148_00027	CDS	489	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
metabat1500.148_00028	gene	2748				
metabat1500.148_00028	CDS	2748				hypothetical protein
metabat1500.148_00029	gene	363				
metabat1500.148_00029	CDS	363				hypothetical protein
metabat1500.148_00030	gene	75				
metabat1500.148_00030	tRNA	75				tRNA-Lys(ctt)
metabat1500.148_00031	gene	1008				
metabat1500.148_00031	CDS	1008				hypothetical protein
metabat1500.148_00032	gene	411				
metabat1500.148_00032	CDS	411				hypothetical protein
metabat1500.148_00033	gene	1212				
metabat1500.148_00033	CDS	1212				hypothetical protein
metabat1500.148_00034	gene	282				
metabat1500.148_00034	CDS	282				hypothetical protein
metabat1500.148_00035	gene	2385				
metabat1500.148_00035	CDS	2385				hypothetical protein
metabat1500.148_00036	gene	405				
metabat1500.148_00036	CDS	405				hypothetical protein
metabat1500.148_00037	gene	321				
metabat1500.148_00037	CDS	321				hypothetical protein
metabat1500.148_00038	gene	456	petE_1			
metabat1500.148_00038	CDS	456	petE_1			Plastocyanin
metabat1500.148_00039	gene	810				
metabat1500.148_00039	CDS	810				hypothetical protein
metabat1500.148_00040	gene	711				
metabat1500.148_00040	CDS	711		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
metabat1500.148_00041	gene	1251	nosD_1			
metabat1500.148_00041	CDS	1251	nosD_1			putative ABC transporter binding protein NosD
metabat1500.148_00042	gene	657				
metabat1500.148_00042	CDS	657				hypothetical protein
metabat1500.148_00043	gene	2040	nosZ_1			
metabat1500.148_00043	CDS	2040	nosZ_1	1.7.2.4		Nitrous-oxide reductase
metabat1500.148_00044	gene	675	ppaX			
metabat1500.148_00044	CDS	675	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
metabat1500.148_00045	gene	573	sigE_1			
metabat1500.148_00045	CDS	573	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
metabat1500.148_00046	gene	789				
metabat1500.148_00046	CDS	789				hypothetical protein
metabat1500.148_00047	gene	951				
metabat1500.148_00047	CDS	951				hypothetical protein
