locus_tag	ftype	length_bp	gene	EC_number	COG	product
concoct.124_00001	gene	255	qoxC			
concoct.124_00001	CDS	255	qoxC	1.10.3.-		Quinol oxidase subunit 3
concoct.124_00002	gene	357				
concoct.124_00002	CDS	357				hypothetical protein
concoct.124_00003	gene	123				
concoct.124_00003	CDS	123				hypothetical protein
concoct.124_00004	gene	1245	dctA			
concoct.124_00004	CDS	1245	dctA		COG1301	C4-dicarboxylate transport protein
concoct.124_00005	gene	717				
concoct.124_00005	CDS	717				hypothetical protein
concoct.124_00006	gene	435				
concoct.124_00006	CDS	435				hypothetical protein
concoct.124_00007	gene	369				
concoct.124_00007	CDS	369				hypothetical protein
concoct.124_00008	gene	1002				
concoct.124_00008	CDS	1002			COG1638	Solute-binding protein
concoct.124_00009	gene	252				
concoct.124_00009	CDS	252				hypothetical protein
concoct.124_00010	gene	945				
concoct.124_00010	CDS	945				hypothetical protein
concoct.124_00011	gene	552				
concoct.124_00011	CDS	552				putative epimerase/dehydratase
concoct.124_00012	gene	723				
concoct.124_00012	CDS	723				hypothetical protein
concoct.124_00013	gene	942				
concoct.124_00013	CDS	942				hypothetical protein
concoct.124_00014	gene	609	lptE_1			
concoct.124_00014	CDS	609	lptE_1			LPS-assembly lipoprotein LptE
concoct.124_00015	gene	1038	leuS_1			
concoct.124_00015	CDS	1038	leuS_1	6.1.1.4		Leucine--tRNA ligase
concoct.124_00016	gene	168				
concoct.124_00016	CDS	168				hypothetical protein
concoct.124_00017	gene	741	yeaD			
concoct.124_00017	CDS	741	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
concoct.124_00018	gene	705	amiC			
concoct.124_00018	CDS	705	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
concoct.124_00019	gene	981	dusC			
concoct.124_00019	CDS	981	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
concoct.124_00020	gene	654	rspR			
concoct.124_00020	CDS	654	rspR		COG1802	HTH-type transcriptional repressor RspR
concoct.124_00021	gene	1209				
concoct.124_00021	CDS	1209				hypothetical protein
concoct.124_00022	gene	561	dctM			
concoct.124_00022	CDS	561	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
concoct.124_00023	gene	246				
concoct.124_00023	CDS	246		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
concoct.124_00024	gene	1854				
concoct.124_00024	CDS	1854				hypothetical protein
concoct.124_00025	gene	759	lysN			
concoct.124_00025	CDS	759	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
concoct.124_00026	gene	1371	abaQ			
concoct.124_00026	CDS	1371	abaQ			Quinolone resistance transporter
concoct.124_00027	gene	930	araD			
concoct.124_00027	CDS	930	araD	4.2.1.43		L-2-keto-3-deoxyarabonate dehydratase
concoct.124_00028	gene	939	araA			
concoct.124_00028	CDS	939	araA	1.1.1.376		L-arabinose 1-dehydrogenase (NAD(P)(+))
concoct.124_00029	gene	834	nit1_1			
concoct.124_00029	CDS	834	nit1_1	3.5.1.128		Deaminated glutathione amidase
concoct.124_00030	gene	1464	tldD			
concoct.124_00030	CDS	1464	tldD	3.4.-.-	COG0312	Metalloprotease TldD
concoct.124_00031	gene	978				
concoct.124_00031	CDS	978				hypothetical protein
concoct.124_00032	gene	579				
concoct.124_00032	CDS	579				hypothetical protein
concoct.124_00033	gene	231				
concoct.124_00033	CDS	231				hypothetical protein
concoct.124_00034	gene	372				
concoct.124_00034	CDS	372				hypothetical protein
concoct.124_00035	gene	327				
concoct.124_00035	CDS	327				hypothetical protein
concoct.124_00036	gene	159				
concoct.124_00036	CDS	159				hypothetical protein
concoct.124_00037	gene	696	gbpR_1			
concoct.124_00037	CDS	696	gbpR_1			HTH-type transcriptional regulator GbpR
concoct.124_00038	gene	363				
concoct.124_00038	CDS	363		3.1.1.99		6-deoxy-6-sulfogluconolactonase
concoct.124_00039	gene	567				
concoct.124_00039	CDS	567				hypothetical protein
concoct.124_00040	gene	249				
concoct.124_00040	CDS	249				hypothetical protein
concoct.124_00041	gene	474				
concoct.124_00041	CDS	474				hypothetical protein
concoct.124_00042	gene	1278				
concoct.124_00042	CDS	1278				hypothetical protein
concoct.124_00043	gene	747	stcD			
concoct.124_00043	CDS	747	stcD	1.-.-.-		putative N-methylproline demethylase
concoct.124_00044	gene	1926				
concoct.124_00044	CDS	1926				hypothetical protein
concoct.124_00045	gene	603	dnaJ_1			
concoct.124_00045	CDS	603	dnaJ_1		COG0484	Chaperone protein DnaJ
concoct.124_00046	gene	657	can_1			
concoct.124_00046	CDS	657	can_1	4.2.1.1	COG0288	Carbonic anhydrase 2
concoct.124_00047	gene	990	mdh			
concoct.124_00047	CDS	990	mdh	1.1.1.37		Malate dehydrogenase
concoct.124_00048	gene	777	frlR			
concoct.124_00048	CDS	777	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
concoct.124_00049	gene	663	rpe			
concoct.124_00049	CDS	663	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
concoct.124_00050	gene	2163	comEC			
concoct.124_00050	CDS	2163	comEC		COG0658	ComE operon protein 3
concoct.124_00051	gene	558				
concoct.124_00051	CDS	558				hypothetical protein
concoct.124_00052	gene	216	tauD_1			
concoct.124_00052	CDS	216	tauD_1	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
concoct.124_00053	gene	594	pdtaR			
concoct.124_00053	CDS	594	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
concoct.124_00054	gene	405				
concoct.124_00054	CDS	405				hypothetical protein
concoct.124_00055	gene	1620	sgrR			
concoct.124_00055	CDS	1620	sgrR			HTH-type transcriptional regulator SgrR
concoct.124_00056	gene	2457	mdtC_1			
concoct.124_00056	CDS	2457	mdtC_1		COG0841	Multidrug resistance protein MdtC
concoct.124_00057	gene	513				
concoct.124_00057	CDS	513				hypothetical protein
concoct.124_00058	gene	1125				
concoct.124_00058	CDS	1125				hypothetical protein
concoct.124_00059	gene	1602				
concoct.124_00059	CDS	1602				hypothetical protein
concoct.124_00060	gene	738	mdtC_2			
concoct.124_00060	CDS	738	mdtC_2			Multidrug resistance protein MdtC
concoct.124_00061	gene	1248				
concoct.124_00061	CDS	1248				hypothetical protein
concoct.124_00062	gene	1506				
concoct.124_00062	CDS	1506				hypothetical protein
concoct.124_00063	gene	189				
concoct.124_00063	CDS	189				hypothetical protein
concoct.124_00064	gene	1065				
concoct.124_00064	CDS	1065				hypothetical protein
concoct.124_00065	gene	468	pcp			
concoct.124_00065	CDS	468	pcp		COG3133	Outer membrane lipoprotein pcp
concoct.124_00066	gene	936	adoK_1			
concoct.124_00066	CDS	936	adoK_1	2.7.1.20	COG0524	Adenosine kinase
concoct.124_00067	gene	924				
concoct.124_00067	CDS	924				hypothetical protein
concoct.124_00068	gene	156	hcaC			
concoct.124_00068	CDS	156	hcaC			3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
concoct.124_00069	gene	1254	andAa			
concoct.124_00069	CDS	1254	andAa	1.18.1.3		Anthranilate 1,2-dioxygenase system ferredoxin--NAD(+) reductase component
concoct.124_00070	gene	1311	nagG			
concoct.124_00070	CDS	1311	nagG	1.14.13.172		Salicylate 5-hydroxylase, large oxygenase component
concoct.124_00071	gene	516	andAd			
concoct.124_00071	CDS	516	andAd	1.14.12.1		Anthranilate 1,2-dioxygenase small subunit
concoct.124_00072	gene	531	yrdA_1			
concoct.124_00072	CDS	531	yrdA_1		COG0663	Protein YrdA
concoct.124_00073	gene	633				
concoct.124_00073	CDS	633				hypothetical protein
concoct.124_00074	gene	777				
concoct.124_00074	CDS	777				hypothetical protein
concoct.124_00075	gene	843	nuoD_1			
concoct.124_00075	CDS	843	nuoD_1	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
concoct.124_00076	gene	480	nqo2			
concoct.124_00076	CDS	480	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit 2
concoct.124_00077	gene	639	rhtC_1			
concoct.124_00077	CDS	639	rhtC_1		COG1280	Threonine efflux protein
concoct.124_00078	gene	894	syrM1_1			
concoct.124_00078	CDS	894	syrM1_1			HTH-type transcriptional regulator SyrM 1
concoct.124_00079	gene	777	kefG			
concoct.124_00079	CDS	777	kefG	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefG
concoct.124_00080	gene	846				
concoct.124_00080	CDS	846				hypothetical protein
concoct.124_00081	gene	396				
concoct.124_00081	CDS	396				hypothetical protein
concoct.124_00082	gene	402	rpsK_1			
concoct.124_00082	CDS	402	rpsK_1		COG0100	30S ribosomal protein S11
concoct.124_00083	gene	366	rpsM			
concoct.124_00083	CDS	366	rpsM		COG0099	30S ribosomal protein S13
concoct.124_00084	gene	117	rpmJ			
concoct.124_00084	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
concoct.124_00085	gene	219	infA			
concoct.124_00085	CDS	219	infA			Translation initiation factor IF-1
concoct.124_00086	gene	1335	secY			
concoct.124_00086	CDS	1335	secY		COG0201	Protein translocase subunit SecY
concoct.124_00087	gene	873				
concoct.124_00087	CDS	873				hypothetical protein
concoct.124_00088	gene	1044	astC			
concoct.124_00088	CDS	1044	astC	2.6.1.81	COG4992	Succinylornithine transaminase
concoct.124_00089	gene	561				
concoct.124_00089	CDS	561				hypothetical protein
concoct.124_00090	gene	627	nrtD_1			
concoct.124_00090	CDS	627	nrtD_1	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
concoct.124_00091	gene	894				
concoct.124_00091	CDS	894				hypothetical protein
concoct.124_00092	gene	402				
concoct.124_00092	CDS	402				hypothetical protein
concoct.124_00093	gene	783				
concoct.124_00093	CDS	783				hypothetical protein
concoct.124_00094	gene	390				
concoct.124_00094	CDS	390				hypothetical protein
concoct.124_00095	gene	531				
concoct.124_00095	CDS	531				hypothetical protein
concoct.124_00096	gene	306				
concoct.124_00096	CDS	306				hypothetical protein
concoct.124_00097	gene	1269	infB			
concoct.124_00097	CDS	1269	infB		COG0532	Translation initiation factor IF-2
concoct.124_00098	gene	1332	sasA_1			
concoct.124_00098	CDS	1332	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
concoct.124_00099	gene	345				
concoct.124_00099	CDS	345				hypothetical protein
concoct.124_00100	gene	555	tadA_1			
concoct.124_00100	CDS	555	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
concoct.124_00101	gene	927	ldcA_1			
concoct.124_00101	CDS	927	ldcA_1	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
concoct.124_00102	gene	360				
concoct.124_00102	CDS	360				hypothetical protein
concoct.124_00103	gene	498	nicF			
concoct.124_00103	CDS	498	nicF	3.5.1.107	COG1335	Maleamate amidohydrolase
concoct.124_00104	gene	894	dmlR_1			
concoct.124_00104	CDS	894	dmlR_1			HTH-type transcriptional regulator DmlR
concoct.124_00105	gene	1029				
concoct.124_00105	CDS	1029				hypothetical protein
concoct.124_00106	gene	243				
concoct.124_00106	CDS	243				hypothetical protein
concoct.124_00107	gene	351	glpK_1			
concoct.124_00107	CDS	351	glpK_1	2.7.1.30	COG0554	Glycerol kinase
concoct.124_00108	gene	171				
concoct.124_00108	CDS	171				hypothetical protein
concoct.124_00109	gene	438				
concoct.124_00109	CDS	438				hypothetical protein
concoct.124_00110	gene	867	nuoM_1			
concoct.124_00110	CDS	867	nuoM_1	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
concoct.124_00111	gene	1311	purA_1			
concoct.124_00111	CDS	1311	purA_1	6.3.4.4		Adenylosuccinate synthetase
concoct.124_00112	gene	546	gpt			
concoct.124_00112	CDS	546	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
