locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat1500.117_00001	gene	330				
metabat1500.117_00001	CDS	330				hypothetical protein
metabat1500.117_00002	gene	549				
metabat1500.117_00002	CDS	549				hypothetical protein
metabat1500.117_00003	gene	684				
metabat1500.117_00003	CDS	684				hypothetical protein
metabat1500.117_00004	gene	654				
metabat1500.117_00004	CDS	654				hypothetical protein
metabat1500.117_00005	gene	882				
metabat1500.117_00005	CDS	882				hypothetical protein
metabat1500.117_00006	gene	483				
metabat1500.117_00006	CDS	483				hypothetical protein
metabat1500.117_00007	gene	273				
metabat1500.117_00007	CDS	273				hypothetical protein
metabat1500.117_00008	gene	234				
metabat1500.117_00008	CDS	234				hypothetical protein
metabat1500.117_00009	gene	1338				
metabat1500.117_00009	CDS	1338				hypothetical protein
metabat1500.117_00010	gene	954	accA			
metabat1500.117_00010	CDS	954	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
metabat1500.117_00011	gene	954	xerD			
metabat1500.117_00011	CDS	954	xerD			Tyrosine recombinase XerD
metabat1500.117_00012	gene	144				
metabat1500.117_00012	CDS	144				hypothetical protein
metabat1500.117_00013	gene	594	aroK			
metabat1500.117_00013	CDS	594	aroK	2.7.1.71	COG0703	Shikimate kinase 1
metabat1500.117_00014	gene	1119				
metabat1500.117_00014	CDS	1119				hypothetical protein
metabat1500.117_00015	gene	210				
metabat1500.117_00015	CDS	210				hypothetical protein
metabat1500.117_00016	gene	2730	topA			
metabat1500.117_00016	CDS	2730	topA	5.6.2.1	COG0550	DNA topoisomerase 1
metabat1500.117_00017	gene	216				
metabat1500.117_00017	CDS	216				hypothetical protein
metabat1500.117_00018	gene	981				
metabat1500.117_00018	CDS	981				hypothetical protein
metabat1500.117_00019	gene	117				
metabat1500.117_00019	CDS	117		1.1.1.-		2-keto-3-deoxy-L-fuconate dehydrogenase
metabat1500.117_00020	gene	1065				
metabat1500.117_00020	CDS	1065				hypothetical protein
metabat1500.117_00021	gene	978	denD			
