locus_tag	ftype	length_bp	gene	EC_number	COG	product
metabat2500.117_00001	gene	546	sipU			
metabat2500.117_00001	CDS	546	sipU	3.4.21.89	COG0681	Signal peptidase I U
metabat2500.117_00002	gene	1092				
metabat2500.117_00002	CDS	1092				hypothetical protein
metabat2500.117_00003	gene	390				
metabat2500.117_00003	CDS	390				hypothetical protein
metabat2500.117_00004	gene	1275				
metabat2500.117_00004	CDS	1275				L-lactate transporter
metabat2500.117_00005	gene	1947				
metabat2500.117_00005	CDS	1947				hypothetical protein
metabat2500.117_00006	gene	1266	scmP			
metabat2500.117_00006	CDS	1266	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
metabat2500.117_00007	gene	1152	dgoD_1			
metabat2500.117_00007	CDS	1152	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
metabat2500.117_00008	gene	228				
metabat2500.117_00008	CDS	228				hypothetical protein
metabat2500.117_00009	gene	882				
metabat2500.117_00009	CDS	882				hypothetical protein
metabat2500.117_00010	gene	1059				
metabat2500.117_00010	CDS	1059				hypothetical protein
metabat2500.117_00011	gene	582				
metabat2500.117_00011	CDS	582				hypothetical protein
metabat2500.117_00012	gene	1236	argG			
metabat2500.117_00012	CDS	1236	argG	6.3.4.5	COG0137	Argininosuccinate synthase
metabat2500.117_00013	gene	795				
metabat2500.117_00013	CDS	795				hypothetical protein
metabat2500.117_00014	gene	963				
metabat2500.117_00014	CDS	963				hypothetical protein
metabat2500.117_00015	gene	1101				
metabat2500.117_00015	CDS	1101				hypothetical protein
metabat2500.117_00016	gene	951				
metabat2500.117_00016	CDS	951				hypothetical protein
metabat2500.117_00017	gene	798	garL			
metabat2500.117_00017	CDS	798	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
metabat2500.117_00018	gene	408	arsC			
metabat2500.117_00018	CDS	408	arsC	1.20.4.1		Glutaredoxin arsenate reductase
metabat2500.117_00019	gene	75				
metabat2500.117_00019	tRNA	75				tRNA-Ala(tgc)
metabat2500.117_00020	gene	681				
metabat2500.117_00020	CDS	681				hypothetical protein
metabat2500.117_00021	gene	885	slmA_1			
metabat2500.117_00021	CDS	885	slmA_1			Nucleoid occlusion factor SlmA
metabat2500.117_00022	gene	747	ybhF_1			
metabat2500.117_00022	CDS	747	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
metabat2500.117_00023	gene	1068				
metabat2500.117_00023	CDS	1068				hypothetical protein
metabat2500.117_00024	gene	441	petE_1			
metabat2500.117_00024	CDS	441	petE_1			Plastocyanin
metabat2500.117_00025	gene	1788				
metabat2500.117_00025	CDS	1788		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
metabat2500.117_00026	gene	936				
